masv,hodem,ten,ngaysinh,gioitinh,noisinh,malop
3714,Trần Hoài,Ngân,2004/7/1,1,Vĩnh Long,TI24
3715,Phan Văn,Ánh,2004/1/20,1,Long An,HQ23
3716,Trần Minh,Vy,2004/1/24,0,Tây Ninh,SP23
3717,Phạm Hữu,Thịnh,2002/5/12,1,Trà Vinh,NA22
3718,Trần Trung,Giang,2005/10/6,1,Vĩnh Long,MT24
3719,Trương Gia,My,2001/4/16,1,Long An,HT22
3720,Nguyễn Hữu,Hậu,2000/3/29,1,Long An,HD24
3721,Nguyễn Hữu,Hồng,2004/10/20,1,Cần Thơ,LU24
3722,Phan Minh,Phú,2002/5/6,1,HCM,TM24
3723,Nguyễn Trung,Linh,2005/2/6,0,HCM,DT24
3724,Bùi Hữu,Vy,2002/9/20,0,Trà Vinh,PM23
3725,Trần Trung,An,2001/1/20,1,Trà Vinh,PM24
3726,Phạm Trung,Duyên,2001/11/17,1,Tây Ninh,TU24
3727,Nguyễn Văn,Duyên,2004/9/5,1,Trà Vinh,TM24
3728,Lê Thế,Chi,2004/6/9,1,Trà Vinh,HT22
3729,Phạm Thế,Nhi,2005/9/4,1,Tiền Giang,DL24
3730,Phạm Thế,Trang,2001/3/3,1,HCM,PM21
3731,Phạm Văn,Diễm,2003/4/4,1,Tiền Giang,HQ23
3732,Phạm Mạnh,Tấn,2003/6/19,1,Nam Định,MT24
3733,Phạm Gia,Huỳnh,2005/12/16,0,Trà Vinh,TI24
3734,Nguyễn Quang,Nhã,2001/6/17,1,HCM,HT22
3735,Trần Trung,Chi,2004/12/18,0,Trà Vinh,PM22
3736,Trương Hoài,Lợi,2003/2/7,1,Nam Định,TM24
3737,Võ Hoài,Như,2002/1/25,1,Cần Thơ,PM23
3738,Nguyễn Minh,Ngân,2001/5/12,0,Trà Vinh,LU24
3739,Nguyễn Mạnh,Vy,2001/2/5,1,Tây Ninh,HT22
3740,Nguyễn Hoài,My,2003/10/6,1,An Giang,TU23
3741,Trần Thế,Danh,2001/8/22,1,Trà Vinh,VL24
3742,Võ Thị,Bích,2000/2/12,0,Nam Định,DL24
3743,Nguyễn Minh,Đại,2000/5/13,1,HCM,NA24
3744,Nguyễn Gia,Sang,2004/5/17,1,Tiền Giang,HC24
3745,Phan Hoàng,Bảo,2002/1/27,1,HCM,SP22
3746,Nguyễn Thế,Cẩm,2000/6/20,0,Tiền Giang,HT24
3747,Trương Hoài,Diễm,2001/9/7,0,Tây Ninh,PM24
3748,Võ Hoài,Thắng,2000/2/12,0,Nam Định,NA23
3749,Võ Minh,Đại,2005/5/26,1,Vĩnh Long,NA22
3750,Bùi Văn,Cường,2005/9/24,1,Tiền Giang,TU22
3751,Trương Hữu,Duyên,2003/7/30,1,Cần Thơ,DL24
3752,Phan Minh,Phú,2004/6/15,0,An Giang,TC23
3753,Lê Văn,Ân,2004/8/5,1,Tiền Giang,HQ24
3754,Võ Hữu,Bảo,2004/4/12,1,Cần Thơ,TU24
3755,Phạm Thị,Phương,2002/3/7,0,Cần Thơ,HT23
3756,Phạm Mạnh,Danh,2004/3/13,1,Long An,TU24
3757,Võ Hoài,Hậu,2001/6/19,0,Nam Định,VL24
3758,Nguyễn Hữu,Bình,2005/8/13,1,Tây Ninh,HT24
3759,Trương Trung,Danh,2002/3/13,0,Tiền Giang,TI24
3760,Trần Nhật,Duy,2003/9/28,1,Vĩnh Long,TI24
3761,Bùi Mạnh,Tài,2001/8/23,0,Nam Định,HD24
3762,Trần Thế,Kiều,2002/1/30,0,HCM,TM24
3763,Phạm Hoài,Giang,2004/10/30,1,Tiền Giang,HD24
3764,Nguyễn Thị,Vỹ,2003/5/6,0,Tiền Giang,SP24
3765,Phan Thị,Anh,2000/7/30,0,Nam Định,TU22
3766,Trương Thị,Bảo,2003/10/8,0,An Giang,HT23
3767,Nguyễn Thị,Khôi,2000/6/21,0,Tiền Giang,NA24
3768,Trương Văn,Linh,2003/1/29,1,Tiền Giang,SP23
3769,Trần Quang,Trang,2004/7/10,1,Cần Thơ,HD24
3770,Nguyễn Văn,Thịnh,2000/12/7,1,Nam Định,SP22
3771,Phan Hoàng,Khải,2004/8/25,1,Tiền Giang,NA23
3772,Võ Thế,Vân,2005/12/23,1,An Giang,VL24
3773,Bùi Hữu,Phước,2002/4/15,0,Trà Vinh,SP22
3774,Bùi Gia,Dương,2005/9/30,0,Vĩnh Long,DL24
3775,Lê Hoài,Vỹ,2005/9/23,1,Nam Định,SP24
3776,Trương Gia,An,2003/4/1,0,Trà Vinh,PM22
3777,Võ Mạnh,Hồng,2004/2/16,1,Tiền Giang,HC24
3778,Võ Hoàng,Hồng,2001/9/10,0,Tiền Giang,PM24
3779,Lê Quang,Duyên,2005/6/17,1,Tây Ninh,TU23
3780,Phan Hoàng,Chi,2004/2/8,1,Nam Định,TC23
3781,Phạm Thế,Nhi,2002/6/22,0,Nam Định,TI24
3782,Trương Thế,Nhi,2005/8/1,1,An Giang,SP22
3783,Phạm Hoài,Cường,2002/1/19,1,Cần Thơ,HC24
3784,Lê Gia,Danh,2000/10/18,0,Long An,HD24
3785,Võ Hoài,Vân,2002/9/26,1,Cần Thơ,MK24
3786,Phan Thế,Bạch,2003/5/22,1,Vĩnh Long,DL24
3787,Lê Trung,Kiều,2002/9/7,0,HCM,TU23
3788,Võ Hoài,Đại,2004/3/4,1,Nam Định,HT22
3789,Võ Hữu,Đại,2002/10/12,1,Tây Ninh,DL24
3790,Phạm Hoàng,Cẩm,2005/1/6,0,Vĩnh Long,DL24
3791,Nguyễn Thế,My,2000/7/24,1,Tây Ninh,TC23
3792,Lê Quang,Nghĩa,2002/5/29,0,Trà Vinh,LU24
3793,Trần Thị,Diễm,2003/2/18,0,Vĩnh Long,PM21
3794,Trần Thế,Trang,2004/5/20,0,Cần Thơ,TU24
3795,Bùi Hoài,Bích,2000/8/21,0,Trà Vinh,HQ23
3796,Trương Văn,Danh,2004/3/29,1,Cần Thơ,PM23
3797,Nguyễn Hoài,Dương,2004/4/28,1,HCM,LU24
3798,Trương Nhật,Hà,2002/7/1,0,Cần Thơ,SP24
3799,Võ Trung,Huỳnh,2005/1/14,0,An Giang,TC24
3800,Trần Quang,Phú,2003/2/5,1,Nam Định,DL24
3801,Lê Thế,Thương,2004/4/11,0,Tây Ninh,PM22
3802,Phan Nhật,Anh,2005/1/16,1,Tiền Giang,NA23
3803,Phạm Minh,Huỳnh,2001/9/12,0,Nam Định,VL24
3804,Lê Thế,Hồng,2003/3/3,1,Trà Vinh,HT23
3805,Phan Nhật,Thắng,2002/1/27,1,Long An,TI24
3806,Phan Trung,Nhi,2002/5/15,0,An Giang,SP23
3807,Phạm Hữu,Bảo,2005/1/15,1,Nam Định,HD24
3808,Trần Trung,Băng,2003/3/5,1,An Giang,HQ23
3809,Phạm Thế,Phúc,2002/8/28,0,Vĩnh Long,DT24
3810,Phan Hoàng,Bảo,2000/7/7,1,Tây Ninh,TC24
3811,Phan Mạnh,Như,2003/9/6,0,Trà Vinh,SP22
3812,Nguyễn Nhật,Thịnh,2005/6/20,0,Tây Ninh,NA23
3813,Nguyễn Văn,Cẩm,2000/9/10,1,Tiền Giang,TO24
3814,Phan Mạnh,Băng,2002/7/6,0,Long An,TU22
3815,Võ Trung,Hồng,2000/9/29,0,Cần Thơ,TU22
3816,Võ Gia,Anh,2004/11/6,0,An Giang,SP22
3817,Võ Minh,Khải,2001/3/10,1,Tây Ninh,MK24
3818,Nguyễn Trung,Tài,2002/5/27,0,Nam Định,PM21
3819,Trần Minh,Trang,2004/4/24,0,Vĩnh Long,TC23
3820,Võ Mạnh,Bạch,2003/6/25,0,HCM,DL24
3821,Bùi Hoài,Mỹ,2000/10/8,1,Vĩnh Long,PM24
3822,Phan Thị,Khôi,2001/6/9,0,Long An,LU24
3823,Phan Thị,Oanh,2001/3/3,0,HCM,HC24
3824,Trần Hữu,Lợi,2001/4/21,1,HCM,SP24
3825,Lê Minh,Thịnh,2000/5/2,1,HCM,PM22
3826,Trương Hoàng,Phương,2000/4/30,0,Trà Vinh,NA23
3827,Phạm Gia,Hồng,2003/2/6,1,Nam Định,DT24
3828,Võ Mạnh,Đức,2001/1/29,0,Long An,HQ23
3829,Phan Thị,Kiều,2002/5/2,0,Tiền Giang,HQ23
3830,Phạm Hữu,Tấn,2004/9/24,1,An Giang,TM24
3831,Trần Minh,Mỹ,2002/10/26,0,An Giang,HQ24
3832,Bùi Hoàng,Trang,2005/8/24,1,Nam Định,VL24
3833,Trần Hoài,Dương,2002/9/24,0,Long An,TC23
3834,Võ Văn,Khang,2002/4/10,1,Nam Định,SP23
3835,Bùi Trung,Khanh,2003/1/23,0,Tiền Giang,HC24
3836,Phạm Hoài,Vỹ,2000/7/17,0,Trà Vinh,HC24
3837,Phan Quang,Kim,2004/10/5,0,Cần Thơ,MK24
3838,Bùi Gia,Ngọc,2001/4/17,1,Tiền Giang,TU23
3839,Trần Minh,Đạt,2000/1/26,1,Long An,HQ23
3840,Phan Minh,Ân,2000/11/6,1,Cần Thơ,SP24
3841,Trương Nhật,Vinh,2000/10/28,1,Cần Thơ,HQ23
3842,Bùi Văn,Nhã,2000/6/2,1,Tây Ninh,LU24
3843,Nguyễn Trung,Bích,2003/10/22,1,HCM,SP23
3844,Phạm Trung,Duyên,2003/9/17,1,Nam Định,NA23
3845,Trần Minh,Danh,2000/6/22,0,Nam Định,TU22
3846,Nguyễn Văn,Huỳnh,2004/7/20,1,HCM,MK24
3847,Phan Văn,Lợi,2000/11/26,1,Long An,HQ24
3848,Phan Hoài,Sang,2005/7/2,1,Tiền Giang,TC23
3849,Phan Hoài,Vinh,2001/12/26,0,Tiền Giang,NA24
3850,Phạm Hữu,Như,2002/12/21,1,An Giang,NA24
3851,Trần Thị,Như,2001/1/9,0,Cần Thơ,DT24
3852,Trần Mạnh,Đức,2004/2/27,1,Tây Ninh,DL24
3853,Nguyễn Hữu,Long,2000/5/19,0,Trà Vinh,PM23
3854,Lê Nhật,Thắng,2002/4/7,0,Tây Ninh,TU22
3855,Lê Mạnh,Trang,2001/6/4,0,Vĩnh Long,VL24
3856,Trần Mạnh,Giang,2000/3/30,0,Long An,HT23
3857,Phan Nhật,Cường,2002/7/13,1,Nam Định,TC23
3858,Trương Trung,Ngọc,2005/12/2,0,Trà Vinh,NA23
3859,Lê Gia,Khôi,2000/5/7,1,Trà Vinh,HQ23
3860,Bùi Hữu,Khánh,2000/1/14,1,Nam Định,SP22
3861,Bùi Hoàng,Thịnh,2002/8/4,0,Tây Ninh,TI24
3862,Trương Gia,Cẩm,2005/1/11,1,Tiền Giang,DT24
3863,Trương Hoài,Như,2005/7/27,0,Nam Định,HC24
3864,Võ Mạnh,Phương,2000/4/14,1,An Giang,HC24
3865,Lê Nhật,Anh,2003/4/16,1,Tiền Giang,LU24
3866,Trương Hữu,Duyên,2001/3/28,1,Cần Thơ,LU24
3867,Trần Văn,Hậu,2003/12/22,1,An Giang,LU24
3868,Võ Quang,Phượng,2005/6/6,0,Tây Ninh,TU24
3869,Trương Quang,Phượng,2003/12/26,1,Tiền Giang,NA23
3870,Nguyễn Thế,Dung,2003/8/28,0,Tây Ninh,LU24
3871,Võ Mạnh,Phú,2002/12/21,0,Tây Ninh,TC24
3872,Phạm Hoàng,Bảo,2004/11/28,1,Tiền Giang,LU24
3873,Bùi Văn,Oanh,2000/4/19,1,HCM,TU22
3874,Võ Thế,Oanh,2004/1/28,0,Nam Định,TC23
3875,Võ Nhật,My,2001/12/16,0,Vĩnh Long,NA22
3876,Trương Minh,Châu,2004/12/13,1,Cần Thơ,MT24
3877,Trương Văn,Ánh,2001/11/11,1,HCM,PM24
3878,Phạm Hoài,Anh,2005/6/30,0,Vĩnh Long,TI24
3879,Võ Minh,Sương,2003/8/21,0,Cần Thơ,HT24
3880,Trương Thị,Chi,2004/3/2,0,Tây Ninh,DT24
3881,Bùi Hoàng,Phú,2001/11/19,0,Tiền Giang,SP23
3882,Phạm Thị,Duy,2000/8/17,0,Tây Ninh,TC23
3883,Bùi Thế,Danh,2000/1/13,1,Tây Ninh,TC23
3884,Bùi Thế,Duyên,2004/4/30,0,Cần Thơ,PM21
3885,Trương Hoài,Kim,2002/8/29,1,Trà Vinh,TU22
3886,Phan Hữu,Oanh,2001/7/30,0,Nam Định,HD24
3887,Trần Hữu,Đạt,2000/12/8,1,An Giang,NA22
3888,Nguyễn Nhật,Vân,2003/2/16,0,Cần Thơ,SP22
3889,Trương Hoài,Khanh,2000/4/17,0,Nam Định,HC24
3890,Trương Mạnh,Giang,2000/12/28,1,Long An,PM23
3891,Trương Trung,Duy,2000/5/28,1,An Giang,PM24
3892,Võ Nhật,Ngọc,2005/9/5,1,An Giang,HT23
3893,Võ Gia,Phú,2001/6/9,0,Nam Định,TC23
3894,Phạm Quang,Diễm,2002/11/15,0,Trà Vinh,SP24
3895,Bùi Trung,Mỹ,2004/6/26,0,Trà Vinh,LU24
3896,Nguyễn Hoài,Ánh,2000/6/19,0,Cần Thơ,TM24
3897,Trương Văn,Vy,2002/4/21,1,Tiền Giang,TU22
3898,Trương Trung,Vỹ,2001/3/16,1,Tiền Giang,TO24
3899,Bùi Hoài,Như,2001/3/13,0,HCM,DL24
3900,Trần Mạnh,Hồng,2000/2/27,1,An Giang,NA22
3901,Võ Mạnh,Tài,2004/9/6,1,HCM,HD24
3902,Phạm Minh,Kim,2000/7/5,1,Tiền Giang,NA24
3903,Bùi Văn,Bảo,2000/12/12,1,Nam Định,MK24
3904,Phan Thị,Lợi,2003/6/7,0,HCM,LU24
3905,Lê Quang,Phương,2005/11/3,0,HCM,NA22
3906,Nguyễn Văn,Linh,2003/5/13,1,An Giang,DT24
3907,Lê Hữu,Thịnh,2001/5/4,0,Tiền Giang,DL24
3908,Võ Hữu,Phú,2003/11/29,0,Trà Vinh,HT23
3909,Trần Thế,Huỳnh,2003/10/26,0,Long An,HT24
3910,Trương Gia,An,2000/8/8,1,Vĩnh Long,TO24
3911,Bùi Văn,Giang,2000/5/27,1,Tiền Giang,PM24
3912,Nguyễn Gia,Hậu,2000/8/17,1,Tiền Giang,NA22
3913,Phạm Nhật,Cẩm,2002/3/17,1,Nam Định,SP24
3914,Phan Hoài,Uyên,2004/10/10,0,Trà Vinh,TU24
3915,Trương Trung,Băng,2005/8/14,1,HCM,HT22
3916,Trần Nhật,Danh,2002/4/27,1,Tiền Giang,TC23
3917,Bùi Mạnh,Mỹ,2003/12/20,1,Tây Ninh,LU24
3918,Bùi Nhật,Bình,2001/4/28,0,Nam Định,PM24
3919,Bùi Quang,Phúc,2003/6/7,1,HCM,HT22
3920,Lê Mạnh,Chi,2001/10/27,1,Long An,LU24
3921,Phan Hữu,Cường,2002/11/26,1,Vĩnh Long,PM24
3922,Lê Quang,Khang,2002/6/11,1,Tiền Giang,HQ24
3923,Trần Mạnh,Vỹ,2004/10/24,1,Cần Thơ,HT24
3924,Lê Trung,Duy,2001/2/20,1,Tiền Giang,TM24
3925,Phạm Thế,Tấn,2001/9/4,1,Tây Ninh,TC23
3926,Phạm Thị,Phúc,2003/1/9,0,Tiền Giang,HQ24
3927,Trương Gia,Giang,2004/7/2,1,Tây Ninh,SP23
3928,Lê Nhật,Kiều,2005/3/15,0,Vĩnh Long,HT24
3929,Bùi Văn,Anh,2005/4/29,1,An Giang,PM23
3930,Nguyễn Trung,Bạch,2000/3/10,1,Tây Ninh,TO24
3931,Võ Văn,Ngân,2004/12/12,1,Vĩnh Long,PM22
3932,Phan Quang,My,2002/3/21,0,Tây Ninh,PM24
3933,Võ Quang,Như,2003/5/11,1,Tiền Giang,DL24
3934,Lê Nhật,Phúc,2001/7/23,1,Long An,NA24
3935,Trương Hoài,Sơn,2000/10/5,1,Nam Định,LU24
3936,Bùi Mạnh,Đạt,2002/8/6,0,Cần Thơ,TU24
3937,Lê Gia,Hậu,2000/6/7,1,An Giang,TU24
3938,Lê Quang,Thanh,2000/4/9,1,Tiền Giang,TC23
3939,Lê Quang,Hậu,2000/8/7,0,Trà Vinh,TI24
3940,Trương Mạnh,Sương,2000/10/18,1,Cần Thơ,NA22
3941,Phan Mạnh,Đạt,2002/1/24,1,Vĩnh Long,HQ24
3942,Võ Thị,Phúc,2003/2/6,0,Cần Thơ,SP22
3943,Phạm Thế,Bảo,2000/5/25,0,Tiền Giang,HD24
3944,Bùi Thị,Long,2004/11/25,0,Vĩnh Long,VL24
3945,Võ Thị,Như,2000/6/27,0,Nam Định,TI24
3946,Bùi Hoàng,Ân,2002/5/5,1,Tây Ninh,SP23
3947,Trương Văn,Thịnh,2002/11/29,1,Tây Ninh,HQ23
3948,Nguyễn Minh,My,2003/7/15,1,Tiền Giang,HQ24
3949,Phan Mạnh,Lợi,2002/11/29,1,HCM,DL24
3950,Phan Thế,Danh,2004/11/25,0,Long An,MT24
3951,Phạm Quang,Như,2004/3/20,0,An Giang,TU24
3952,Lê Hoàng,Duy,2003/1/2,0,Tiền Giang,HT22
3953,Trương Thị,Hậu,2002/6/7,0,Long An,DT24
3954,Trương Nhật,Nghĩa,2004/2/2,0,Tiền Giang,TU23
3955,Lê Mạnh,Long,2005/11/12,1,Trà Vinh,HD24
3956,Phạm Hữu,Ân,2000/11/24,1,Cần Thơ,TU22
3957,Trần Hoàng,Khôi,2004/4/22,0,An Giang,HQ23
3958,Phạm Hữu,Oanh,2002/9/25,1,Trà Vinh,TU22
3959,Phan Thế,Vy,2001/7/5,1,Tây Ninh,TC24
3960,Phạm Nhật,Nhi,2000/9/5,1,Cần Thơ,LU24
3961,Nguyễn Thị,Danh,2003/1/19,0,HCM,HQ23
3962,Bùi Trung,Nghĩa,2003/1/9,0,Vĩnh Long,LU24
3963,Nguyễn Trung,Cường,2002/3/25,1,Cần Thơ,SP23
3964,Trần Nhật,Vân,2000/5/24,1,Tiền Giang,HT22
3965,Trần Thị,Uyên,2001/3/20,0,Nam Định,MK24
3966,Võ Thế,Tấn,2003/6/1,1,Trà Vinh,DT24
3967,Nguyễn Minh,Sơn,2000/3/27,1,Tiền Giang,SP22
3968,Bùi Hoàng,Huỳnh,2005/10/1,1,An Giang,MT24
3969,Võ Hoài,Vy,2004/9/24,1,Tiền Giang,TU22
3970,Bùi Nhật,Như,2003/11/3,1,HCM,NA22
3971,Nguyễn Gia,Ngọc,2005/7/5,0,Long An,NA23
3972,Lê Hoàng,Khanh,2005/2/19,0,Cần Thơ,NA23
3973,Trần Văn,Kiều,2001/2/27,1,Long An,PM21
3974,Bùi Thế,Phượng,2000/9/25,1,Vĩnh Long,TO24
3975,Lê Mạnh,Nghĩa,2002/12/22,1,Tây Ninh,PM24
3976,Lê Gia,Sương,2003/7/23,0,Vĩnh Long,DL24
3977,Phan Thế,Phước,2000/9/25,0,Tiền Giang,PM22
3978,Phan Trung,Phước,2000/10/5,0,HCM,PM22
3979,Võ Minh,Nghĩa,2004/1/27,1,Trà Vinh,NA23
3980,Trần Minh,Trang,2001/6/11,0,Tiền Giang,TC23
3981,Võ Quang,Khải,2002/10/23,0,Tiền Giang,TC24
3982,Phạm Mạnh,Diễm,2003/3/3,0,Trà Vinh,HQ23
3983,Phạm Văn,Tiên,2004/8/23,1,Long An,HQ24
3984,Phạm Thế,Diễm,2004/4/24,1,Nam Định,TU24
3985,Trần Thị,Vỹ,2002/9/5,0,Tây Ninh,DL24
3986,Trương Minh,Giang,2003/7/19,1,An Giang,TC23
3987,Trần Thị,Sương,2001/2/20,0,An Giang,PM22
3988,Trần Văn,Linh,2004/12/18,1,Cần Thơ,TO24
3989,Nguyễn Gia,Chi,2000/2/12,1,An Giang,PM21
3990,Nguyễn Nhật,Sang,2002/5/4,1,Long An,TC24
3991,Trần Quang,Kiều,2000/4/13,0,Tây Ninh,TC23
3992,Lê Văn,Vy,2000/5/9,1,Tây Ninh,SP24
3993,Võ Mạnh,Duyên,2000/8/2,1,Nam Định,HD24
3994,Võ Văn,Thành,2002/3/15,1,Cần Thơ,NA22
3995,Phạm Quang,Bảo,2001/10/6,0,Vĩnh Long,VL24
3996,Trương Gia,Vân,2004/7/25,0,Cần Thơ,TU22
3997,Lê Minh,Ngọc,2003/5/9,0,HCM,TC23
3998,Trương Nhật,Như,2004/1/28,0,Vĩnh Long,HQ23
3999,Phạm Minh,Anh,2005/12/19,1,Vĩnh Long,NA23
4000,Phan Hoài,Linh,2003/11/3,1,HCM,HT22
4001,Bùi Quang,Khanh,2004/5/13,0,Cần Thơ,TU22
4002,Phạm Hoàng,Dung,2003/11/26,0,Long An,VL24
4003,Nguyễn Văn,Ngọc,2003/2/28,1,Trà Vinh,MT24
4004,Nguyễn Gia,Tài,2000/8/12,0,Cần Thơ,TU24
4005,Phan Thế,Dương,2001/2/17,0,Tây Ninh,TU24
4006,Phan Mạnh,Sang,2001/6/27,0,Nam Định,NA23
4007,Lê Hoàng,Kim,2005/6/11,1,An Giang,TU23
4008,Lê Thế,Vân,2001/4/16,1,Vĩnh Long,DT24
4009,Võ Thị,Duy,2004/7/23,0,Long An,VL24
4010,Lê Trung,An,2000/11/25,0,Long An,HD24
4011,Nguyễn Quang,Như,2005/12/16,0,HCM,DL24
4012,Trần Minh,Đại,2004/5/24,0,HCM,MK24
4013,Lê Quang,Dương,2004/2/12,0,An Giang,TC23
4014,Phan Minh,An,2004/2/24,1,Tây Ninh,TU22
4015,Lê Gia,Long,2001/3/1,0,An Giang,TU22
4016,Võ Hoàng,Vinh,2005/10/6,1,Trà Vinh,HT23
4017,Lê Hoàng,Danh,2004/9/3,0,HCM,NA24
4018,Lê Hoàng,Khôi,2001/10/13,1,HCM,SP23
4019,Phan Văn,Băng,2000/7/11,1,Cần Thơ,NA22
4020,Nguyễn Hoài,An,2002/7/30,0,Cần Thơ,DT24
4021,Trần Thế,Giang,2001/5/16,0,HCM,HT22
4022,Trần Mạnh,Dương,2002/10/26,0,An Giang,TI24
4023,Lê Văn,Phước,2000/10/20,1,An Giang,SP22
4024,Bùi Thị,Bạch,2005/12/1,0,An Giang,SP23
4025,Lê Hoài,Phú,2002/2/15,0,Nam Định,HT23
4026,Võ Minh,Uyên,2005/4/17,0,Long An,HQ24
4027,Võ Thế,Huỳnh,2005/10/28,0,Trà Vinh,LU24
4028,Lê Hoàng,Đức,2002/12/20,0,Nam Định,HT22
4029,Phan Văn,Hồng,2002/2/13,1,Vĩnh Long,SP23
4030,Nguyễn Hữu,Vinh,2002/5/1,1,Tiền Giang,NA22
4031,Phan Gia,Dương,2002/6/13,0,Tiền Giang,PM21
4032,Lê Quang,Duy,2000/6/2,1,Vĩnh Long,NA24
4033,Phạm Hoài,Băng,2002/9/20,1,HCM,HT24
4034,Phan Hoàng,Linh,2000/11/8,0,Trà Vinh,SP23
4035,Trương Minh,Nghĩa,2002/11/21,1,Nam Định,SP24
4036,Trương Gia,Giang,2003/8/19,0,An Giang,HT24
4037,Bùi Nhật,Như,2001/6/2,0,An Giang,TI24
4038,Trần Quang,Băng,2005/12/19,0,Vĩnh Long,NA24
4039,Bùi Thế,Duyên,2003/12/13,1,Tiền Giang,DL24
4040,Nguyễn Hoàng,Lợi,2003/4/30,0,Tây Ninh,LU24
4041,Phạm Trung,Khanh,2005/9/10,0,HCM,TU22
4042,Trương Thế,Dung,2002/11/28,0,Tiền Giang,DL24
4043,Trần Hoài,Vân,2003/4/25,1,An Giang,TC24
4044,Phan Thị,Như,2000/10/30,0,Tây Ninh,HT24
4045,Nguyễn Mạnh,Kiều,2004/3/25,1,Long An,HD24
4046,Phan Hoàng,Thắng,2005/4/6,0,Trà Vinh,TC23
4047,Võ Hoàng,Tấn,2000/1/4,0,Cần Thơ,PM24
4048,Phạm Văn,Vân,2000/8/21,1,HCM,TU24
4049,Nguyễn Quang,Khải,2005/3/7,0,Nam Định,DL24
4050,Bùi Văn,Khang,2005/2/20,1,Tiền Giang,DL24
4051,Trương Minh,Uyên,2000/9/7,0,Nam Định,SP24
4052,Phan Minh,Duy,2002/11/30,1,Cần Thơ,HQ24
4053,Phạm Nhật,Ân,2000/3/6,1,Long An,TC23
4054,Trần Minh,Dung,2001/3/9,0,Nam Định,MT24
4055,Phạm Mạnh,Hậu,2000/12/20,1,Cần Thơ,HD24
4056,Võ Thế,Khánh,2001/4/30,0,Tiền Giang,VL24
4057,Trương Gia,Duy,2002/8/10,1,Cần Thơ,HT23
4058,Võ Minh,Khải,2002/11/5,1,Cần Thơ,TC24
4059,Võ Mạnh,Bảo,2002/12/14,1,Tây Ninh,MK24
4060,Bùi Hoài,Ánh,2005/11/27,1,Tiền Giang,NA24
4061,Lê Thị,Tấn,2005/2/14,0,An Giang,HT23
4062,Trần Hữu,Bình,2001/6/10,0,HCM,NA24
4063,Lê Minh,An,2004/2/3,0,Long An,TI24
4064,Võ Hoàng,Vy,2004/12/3,0,Long An,HC24
4065,Phạm Nhật,Thành,2003/11/20,0,Cần Thơ,PM24
4066,Trương Thị,Hà,2001/10/20,0,HCM,HQ24
4067,Phan Mạnh,Phương,2001/6/13,1,Tây Ninh,SP23
4068,Phan Nhật,Anh,2000/10/20,0,Long An,TC23
4069,Nguyễn Thế,Thịnh,2005/2/15,1,An Giang,HT24
4070,Nguyễn Mạnh,Oanh,2002/5/12,1,Long An,TI24
4071,Phạm Quang,Khánh,2003/10/5,1,Cần Thơ,TC24
4072,Phan Hoài,Duyên,2001/11/28,1,Vĩnh Long,NA22
4073,Phan Nhật,Ân,2004/8/19,1,Long An,PM23
4074,Trương Nhật,Khánh,2000/12/8,0,Long An,TU24
4075,Nguyễn Hoàng,Ngọc,2000/5/2,0,Vĩnh Long,HT23
4076,Bùi Hoài,Ánh,2005/11/13,0,An Giang,PM21
4077,Lê Thị,Đạt,2005/8/2,0,Tiền Giang,LU24
4078,Phạm Mạnh,Long,2001/11/22,1,Tây Ninh,TI24
4079,Trương Hoàng,Tài,2005/9/20,0,Nam Định,MT24
4080,Phạm Thế,Khôi,2001/8/13,1,An Giang,TI24
4081,Võ Quang,Bạch,2002/9/29,1,Vĩnh Long,TU23
4082,Bùi Hữu,Dung,2003/9/18,0,Tây Ninh,VL24
4083,Nguyễn Hoàng,Duyên,2005/10/14,1,HCM,NA23
4084,Phạm Thế,Như,2005/2/28,0,Trà Vinh,HT23
4085,Trần Nhật,An,2004/8/17,1,HCM,HC24
4086,Nguyễn Hoài,Ánh,2003/4/5,1,Tiền Giang,TM24
4087,Phan Thị,Duy,2000/8/24,0,Nam Định,VL24
4088,Phạm Văn,Sơn,2001/2/8,1,Tây Ninh,HT22
4089,Nguyễn Hoài,Khánh,2002/7/27,1,Long An,SP22
4090,Lê Thế,Đạt,2000/10/17,0,Tiền Giang,HD24
4091,Phạm Trung,Ngân,2002/4/29,0,Trà Vinh,MT24
4092,Trần Trung,Thành,2001/10/27,0,Long An,HT22
4093,Nguyễn Nhật,Đạt,2002/2/10,1,Vĩnh Long,TI24
4094,Võ Quang,Khải,2000/4/7,1,An Giang,NA24
4095,Phan Gia,Lợi,2004/4/6,0,Vĩnh Long,TU22
4096,Bùi Hữu,Thịnh,2000/12/19,1,An Giang,HT23
4097,Trương Gia,Linh,2001/3/26,1,Vĩnh Long,DL24
4098,Võ Gia,An,2002/7/4,1,An Giang,SP24
4099,Phan Mạnh,Hồng,2000/6/22,1,Cần Thơ,TI24
4100,Nguyễn Trung,Thắng,2002/10/26,1,HCM,NA22
4101,Võ Thế,Nghĩa,2001/5/10,1,Long An,PM21
4102,Bùi Văn,Long,2003/12/19,1,Trà Vinh,HQ24
4103,Võ Thế,Đại,2005/5/10,0,Tiền Giang,MT24
4104,Lê Hoàng,Long,2001/8/11,1,Tây Ninh,HC24
4105,Bùi Trung,Phượng,2002/2/8,0,Long An,HC24
4106,Phan Hoài,My,2003/8/15,0,Cần Thơ,PM22
